Cognitive Distortion,Generative.Methods,Related Sentence,Generative.Model
확대와 축소,일반,"[여자/17]  
---
그 친구가 다른 여자와 사귀는 걸 듣고 '내가 과연 그 친구를 잊을 수 있을까?'라는 생각이 스쳤어요. 진짜 소중했던 모든 순간들이 이렇게 무의미하게 변해버렸다니, 너무 마음이 아파요.",GPT
확대와 축소,일반,"[여자/18]
---
시험 성적표를 받았다.  80점.  잘 본 건데,  마치 낙제점처럼 느껴진다.  다른 애들은 다 100점에 가까운데… 내가 부족한 거겠지.  결국,  나는 아무것도 아닌 거야.  열심히 해도 소용없어.  차라리 포기하는 게 나을까.
",GEMINI
확대와 축소,일반,"[여자/14]
---
미술 시험 결과가 망쳤다.  내 그림 실력이 부족해서가 아니라, 선생님이 내 그림을 싫어해서 낮은 점수를 준 거 같다.  결국 미대는 포기해야 하나?  내 미래는 암담해.  아무것도 잘하는 게 없어.
",GEMINI
확대와 축소,추가,"[여자/17세]
---
친구 수진이는 내 얘기만 듣고,  자기 얘기는 절대 안 해.  내 고민은 아무것도 아닌데,  수진이의 작은 실수는 세상 무너지는 것처럼 크게 느껴져.  나만 힘들다고 생각하니 더 괴롭다.  내가 뭘 잘못했는지 모르겠어.  수진이가 나를 싫어하는 걸까?  아니면 그냥 이용하는 걸까?  모든 게 다 내 탓 같아.
",Gemini
확대와 축소,일반,"[여자/15세]
---
친구들과 연락을 끊고 슬퍼하기만 하고 있어. 내가 너무 우울해서 친구들에게 부정적인 말을 할까 봐 두려워. 친구들이 너무 소중해서 말을 하지 못하겠어. 이제는 이게 너무 늦은 것 같아.",CLAUDE
확대와 축소,일반,"[여자/16세]
---
어른들은 내가 겪는 현실을 이해하지 못해. 집이 가난하지도 않은데 왜 용돈이 그렇게 적은 거야? 명절 때 받은 돈으로 겨우 생활하고 있어. 옷이나 교통비도 내가 직접 지불해야 해.",CLAUDE
확대와 축소,일반,"[여자/17]
---
친구 수진이랑 싸웠어. 내가 잘못한 것 같기도 한데, 수진이 표정이 너무 차가웠어.  다들 우리 싸운 거 보고 수군거리는 것 같고, 아무도 내 편이 아닌 것 같아.  내가 뭘 잘못했는지 계속 생각나는데,  결국엔 내 잘못이겠지.  학교 가기 싫어.  아무도 날 좋아하지 않는 것 같아.
",GEMINI
확대와 축소,추가,"[남자/17세]
---
걔 때문에 내 인생 망칠 것 같아.  저번에 거짓말한 거,  온 세상이 다 알게 된 기분이야.  작은 실수인데,  내 모든 게 다 잘못된 것처럼 느껴져.  내 친구들은 다 걔 편일 거고,  나는 혼자가 될 거야.  완전히 끝장이야.
",Gemini
확대와 축소,추가,"[여자/17] 
---
학교에서 발표할 때 실수했지만, 선생님께서 잘했다고 말씀해주셨어. 하지만 내 실수만 계속 생각나서 모두가 날 무능하다고 여길 거야. 친구들도 나를 무시할 것 같아 집에서 움츠러들고 있어.",Claude
확대와 축소,일반,"[여자/18]  
---  
친구의 비난으로 인해 가슴이 무너졌다. 절교한 후, 남아있는 친구가 나를 멀리하는 것 같아 더욱 외로워. 수능이 다가오는데, 이런 감정이 학업에 방해가 될까 두렵기도 해.",GPT
확대와 축소,추가,"[여자/15세]
---
친구 여덟 명이 나를 버렸어.  작은 실수 하나가 마치 모든 걸 망친 것처럼 느껴져.  체육대회, 현장학습…  혼자 남겨질까 봐 두려워.  내가 망가뜨린 건 단지 작은 부분인데,  전체가 다 틀어진 것 같아.  다시는 친구들과 어울릴 수 없을 거야.
",Gemini
확대와 축소,추가,"[여자/16세]
---
집에 돌아와 보니 엄마가 또 화를 내셔. 정말 이해할 수 없어. 내가 어떻게 했다고 이렇게 화를 내시는지 모르겠어. 이렇게 계속해서 엄마와 나의 갈등이 이어지다 보니 죽고 싶을 정도로 힘들어.",Claude
확대와 축소,일반,"[여자/16세]
---
친구와 문자를 주고받다가 이해가 되지 않는 부분이 생겼어요. 제가 화를 내며 설명했지만, 친구는 화가 나서 대화를 끊었어요. 계속 사과했지만 친구가 저를 믿지 못하는 것 같아 마음이 복잡해요.",CLAUDE
확대와 축소,추가,"[여자/16세]  
---  
학교에서 친구와 다투고 나니까, 이제 모두 나를 싫어할 거야. 내 기분이 정말 안 좋은데, 아마 그들 역시 나를 피할 수도 있어. 한 번의 작은 갈등이 이렇게 커질 줄은 몰랐어.",GPT
확대와 축소,추가,"[여자/17세]
---
엄마의 한마디에 작은 실수가 산더미처럼 느껴진다.  내 잘못이 전부인 것 같고,  모든 게 무너질 것만 같다.  주말 약속도 취소됐는데,  그저 잠만 자고 싶다.  하찮은 내 존재가 세상을 짓누르는 것 같아.  숨 막혀.
",Gemini
확대와 축소,추가,"[여자/15]  
---  
학교에서 친구와 간단한 대화를 나눴는데, 그걸로 내가 무시당한다고 생각했어요. 전혀 그렇지 않다고 해도, 마음속에선 나는 외톨이라고 느껴져서 이젠 트라우마처럼 남을 것 같아요.",GPT
확대와 축소,추가,"[여자/17]
---
진로변경 전입학?  하반기 기회를 놓쳤으니 내년도 어려울 거야.  한 번의 실수가 모든 걸 망친 거 같아.  상고 갈 기회조차 없을지도 몰라.  인생 망한 거나 다름없어.
",Gemini
확대와 축소,일반,"[여자/16세]
---
학교에 가면 친구들과 어울리기 힘들어. 누군가 나를 피하는 것 같고, 내 존재감이 없어지는 것 같아. 집에 오면 혼자 있어 편할 것 같지만, 오히려 불안하고 우울해져. 어떻게 해야 할지 모르겠어.",CLAUDE
확대와 축소,추가,"[여자/17세]
---
부모님께 카드 만들고 싶다고 말씀드렸더니,  별 것 아닌 일인데 엄청난 일처럼 과장해서 말씀하시는 것 같아 속상하다.  내가 뭘 잘못했는지,  아니면 내가 너무 어리다는 건지….  그냥 작은 일인데 엄청난 실수처럼 느껴진다.  결국 혼자 할 수 없다는 생각에 답답하다.
",Gemini
확대와 축소,일반,"[여자/14]  
---  
교복을 입고 거울을 보니 너무 쪼여서 멋이 없더라. 친구들 앞에서 웃는 모습이 부끄러워, 내가 하필 통통하게 생겼구나 싶었고, 다른 친구들은 당연히 내 쪼그려진 치마를 보며 웃을 거라 생각해.",GPT
확대와 축소,일반,"[여자/15]  
---  
어제 집에서 엄마와 사소한 말다툼이 있었어요. 그런데 그게 불행의 시작인 것 같고, 나와 엄마의 관계가 완전히 흔들린 것 같아요. 내가 너무 욕심을 부린 탓일까요? 정말 힘들어.",GPT
확대와 축소,일반,"[여자/16]  
---  
어제 친구와 함께 나갔는데, 새로운 원피스에 깜짝 놀랐어요. 하지만 거울을 보니 다리 길이가 짧아 보였고, 마치 모델처럼 보이지 않는 게 속상하더라고요. 정말 다들 예쁘게 입는데, 나는 늘 조롱당해요.",GPT
확대와 축소,추가,"[여자/17세]
---
아침에 일어났는데, 숨 막힐 듯한 우울함이 밀려왔다.  단순한 피로가 아니야,  내 인생 전체가 무너지는 것 같았다.  하지만 학교에 가니 친구들이 웃고 떠드는 게 보였다.  그냥 내 기분일 뿐인데,  세상이 다 무너진 것처럼 느껴졌다.
",Gemini
확대와 축소,일반,"[여자/16세]
---
친구들이랑 늦게까지 놀다가 엄마한테 걸렸어.  엄청 화내실 줄 알았는데,  평소보다 조용해서 더 무서웠어.  내가 잘못한 건 맞지만,  분명 엄마도 나처럼 힘든 일이 있을 거야.  아니면 나를 아예 포기한 걸까?  내 모든 행동이 엄마를 실망시키는 것 같아.  숨 막혀.
",GEMINI
확대와 축소,추가,"[남자/18세]  
---  
어제 동아리 발표에서 한 가지 실수를 했어요. 그걸 연상하면서 모든 친구들이 나를 무능하다고 생각할 것 같아요. 그저 첫걸음을 내딛은 것일 뿐인데, 모든 일이 잘 안 될 것 같아요.",GPT
확대와 축소,일반,"[여자/14]
---
친구가 험담하는 걸 들었어.  내가 틀렸다고 생각했는데, 다른 친구들까지 나를 싫어하는 것 같아.  전부 다 잃은 기분이야.  아무도 날 좋아하지 않아.  살아갈 가치가 없어.
",GEMINI
확대와 축소,추가,"[여자/17세]
---
어떤 일이 잘 되지 않으면 모든 게 어렵다고 생각해. 작은 실수로 인해 내가 완전히 실패했다고 느껴. 하지만 다른 사람들은 내가 노력하는 모습을 보고 격려해줄 거야. 나는 포기하지 않고 계속 도전하겠어.",Claude
확대와 축소,추가,"[여자/17세]
---
친구들과 웃고 떠들면 세상이 다 밝은데, 혼자 방에 있으면 작은 실수 하나에도 망했단 생각뿐이야.  괜찮은 하루였는데, 밤에 혼자 생각에 잠기면 모든 게 무너지는 기분이 들어.  하찮은 일이 엄청난 재앙처럼 느껴져.  내가 너무 예민한 걸까?
",Gemini
확대와 축소,일반,"[남자/15세]
---
친구와 싸운 지 두 달이 지났지만, 그 사소한 이유를 도무지 기억할 수가 없어. 화해하고 싶지만, 그 친구가 내 잘못이라고만 생각하는 것 같아 어쩔 수 없이 혼자 있게 되네. 앞으로도 이런 일이 반복될까 봐 너무 걱정돼.",CLAUDE
확대와 축소,추가,"[여자/16세]
---
이 한 번의 실수로 내 모든 게 엉망이 될 거야. 학생증을 잃어버려 청소년증을 만들어야 하는데, 부모님 없이는 안 된다고 하니 정말 끔찍해. 내가 이렇게 못난 사람이었던 줄은 몰랐어.",Claude
확대와 축소,일반,"[여자/17]  
---  
고3 기말고사를 치른 날, 역사 과목에서 기대 이하의 점수를 받았어요. 다른 친구들보다 낮은 점수에 자괴감이 들어요. 불행한 기분이 가슴 깊이 자리 잡고, 공부할 의욕이 사라졌어요.",GPT
확대와 축소,추가,"[여자/16세]
---
오늘 처음으로 남자친구를 만나는데, 너무 긴장돼서 말도 못 걸 것 같아. 이렇게 어색하면 영원히 어색할 거야. 내가 실수를 한다면 그 사람이 날 싫어할 거라고 생각해. 이날은 완전히 망치겠지.",Claude
확대와 축소,일반,"[여자/16세]
---
시험 점수가 몇 점 낮았다고, 엄마는 내가 아무것도 안 한다고 화를 냈다.  내 잘못이 커서 엄마 아빠가 싸우는 것 같다.  단순한 실수인데,  내 인생 망한 것 같다.  미안하다는 말도 제대로 못 해.
",GEMINI
확대와 축소,일반,"[여자/17세]
---
시험 성적이 낮아 선생님께 혼나고, 친구들이 나에게 관심을 주지 않는다. 나는 창의성도 없고 외모도 어리게 보여 다들 나를 무시하는 것 같다. 내 성격이 소심해서 친구들과 어울리기도 어렵다.",CLAUDE
확대와 축소,일반,"[여자/14]
---
용돈이 만 오천 원이라니, 친구들은 다 몇 만 원씩 받는데.  내가 뭘 잘못했나?  엄마는 내가 돈을 흥청망청 쓴다고 하는데,  다른 친구들은 훨씬 많이 받잖아.  내가 왜 이렇게 적게 받는 거지?  모두 나만 괴롭히는 걸까?
",GEMINI
확대와 축소,일반,"[여자/15세]  
---  
친구가 화려한 의상을 입고 다니는데, 자신이 초라해 보일까 걱정이 돼. 친구 체형은 마른 편이 아닌데, 언니들 주목을 받을까 봐 불안해. 나도 끌려서 비슷하게 입어야 하나 고민 중이야.",GPT
확대와 축소,일반,"[여자/16세]
---
이번 방학엔 정말 아무것도 하기 싫어요. 공부도, 친구들도 만나기 싫고 심지어 먹는 것도 귀찮아요. 학교에 가면 할 일이 있어서 좋지만, 방학엔 일상이 무너져서 너무 힘들어요. 이제 학기 시작하면 방학에 한 일을 복습해야 할 텐데, 걱정돼요.",CLAUDE
확대와 축소,추가,"[여자/15세]
---
친구가 장난으로 내 머리카락을 눈에 비볐어.  눈이 따끔거려 병원 갔더니,  스크래치라고 했지만…  내 인생 망했어.  앞으로 아무도 날 좋아하지 않을 거야. 작은 상처인데,  마치 세상이 무너진 것 같아.  
",Gemini
확대와 축소,추가,"[여자/17]  
---  
시험에서 한 문제 틀렸다고 다 포기할까 생각했어. 친구들이 멋진 성적을 받았으니, 나도 잘해야 한다는 압박감이 커져서, 나 혼자는 아무 가치 없다고 느껴져.",GPT
확대와 축소,일반,"[남자/14세]  
---  
내가 누군가의 기대에 부응하지 못할까 두려워, 다 가끔씩 성적에 집착하게 돼. 수행평가 성적이 망쳤다는 생각에 머리가 아파. 부모님이 힘들게 키운 걸 생각하면 나 자신이 싫어져.",GPT
흑백 사고,일반,"[여자/15세]
---
학교에선 인기있어 보이지만, 주말엔 혼자 집에 있는다. 친구들은 모두 다른 무리에 속해 있어 나랑은 어울리지 않는다. 나는 고립되고 외로워지지만, 다른 친구들을 사귀기엔 두려워서 움직이지 못한다.",CLAUDE
흑백 사고,일반,"[남자/15세]
---
시험을 망쳤다. 100점 아니면 0점인 것 같다.  내가 뭘 잘못했는지 모르겠다.  모든 게 다 엉망이야.  친구들은 다 잘했겠지.  나는 아무것도 못하는 쓸모없는 사람인가.  다신 공부하기 싫다.
",GEMINI
흑백 사고,추가,"[여자/17세]  
---  
나는 국제의료관광코디네이터가 되려면 전부 잘해야 해. 공부에 실패하면 아무것도 안 될 거야. 친구들도 내 꿈을 비웃을 거고, 그러면 나에게 희망은 없어지는 거겠지.",GPT
흑백 사고,일반,"[여자/15]
---
체육시간 배구 시합에서 실수로 공을 놓쳤다.  선생님과 친구들의 시선이 느껴졌다.  내가 팀을 망쳤다는 생각에 괴로웠다.  모두 나 때문에 졌다고 생각했다.  다음 시합은 더 잘해야 한다.  아니, 아예 못할 것 같다.  내가 왜 이렇게 서투른 걸까.
",GEMINI
흑백 사고,추가,"[여자/15세]
---
공부가 중간밖에 안 되는데 부모님은 공부만 하라고 하시네요. 제가 정말 하고 싶은 일이 있는데 부모님이 절대 허락하지 않으실 것 같아요. 이렇게 계속 공부만 해야 한다면 제 인생은 완전히 망가지겠어요.",Claude
흑백 사고,일반,"[여자/17세]  
---  
요즘 학교에서 아무도 나를 신경 쓰지 않는 것 같아요. 친구들과의 사이가 점점 멀어지고, 마치 나는 존재하지 않는 사람처럼 느껴져요. 과연 이렇게 살아가는 의미가 뭘까요?",GPT
흑백 사고,추가,"[여자/17세]
---
수능은 너무 힘들었다. 점수가 기대에 못 미치니 앞으로 어떻게 살아야 할지 막막해. 바리스타가 되고 싶었지만 이제는 그럴 능력조차 없어 보인다. 직업을 정하는 게 불가능할 것 같아.",Claude
흑백 사고,일반,"[여자/15세]
---
새로운 학교에 왔지만, 다른 애들과는 관심사가 달라서 친구를 사귀기 어려워. 혼자 있는 시간이 많아지면서 점점 외로워지고 있어. 무시당하고 소외감도 느낀다. 세상이 별로 좋아 보이지 않아.",CLAUDE
흑백 사고,추가,"[여자/15세]
---
키와 몸무게에 걱정이 너무 크다. 다이어트 잘 안 되니 앞으로도 평생 이렇게 살 것 같다. 방학에 완전한 변신은 이루어질 리 없겠지. 다른 사람들처럼 쉽게 빠지는 게 되지 않아 실패자가 된 것 같다.",Claude
흑백 사고,일반,"[남자/14세]  
---  
수업 중 친구들이 나를 잘생겼다고 칭찬했어. 그 말이 계속 머릿속에 맴돌아, 매일 완벽한 모습이어야 한다는 압박감을 느끼고 있어. 다가오는 체육 시간에 옷차림이 걱정돼서 밤새 잠을 설쳤다.",GPT
흑백 사고,일반,"[여자/18]
---
미술 시험 결과가 나왔다.  내 그림은 최악이었다.  다른 애들 그림은 다 훌륭했고, 나는 낙제점을 받을 게 분명했다.  재수도 싫고, 다른 길은 생각도 안 해봤다.  결국 나는 아무것도 할 수 없는 사람일 거야.  미래가 없어.
",GEMINI
흑백 사고,일반,"[남자/17세]
---
수학 시험 점수가 망했어.  다른 과목은 다 잘했는데, 수학만 엉망이야.  이대로는 대학 못 갈 거 같아.  결국, 내 꿈은 물거품이 되는 거고.  포기해야 하나?  다른 길을 찾아봐야겠어.
",GEMINI
흑백 사고,추가,"[여자/17세]
---
인터넷에서 알바 쪽지 받았어.  호기심에 연락했더니 이상한 제안이었어.  거절했는데, 내 사진과 번호를 퍼뜨리겠대.  망했어.  내 인생 끝장이야.  아무도 날 안 도와줄 거야.  완전히 망했어.
",Gemini
흑백 사고,일반,"[여자/16세]
---
생일에 친구들이 연락하지 않아 너무 속상했다. 주말에 축하메시지도 별로 없었는데, 학교에서 제일 친한 친구마저 챙겨주지 않아 마음이 아팠다. 내년에는 내가 먼저 연락하지 않을까 걱정돼.",CLAUDE
흑백 사고,일반,"[여자/15세]
---
내 주변엔 늘 뛰어난 친구들뿐이야. 나는 실패할 수밖에 없을 것 같아. 고등학교에 갈수록 더 힘들 것 같아. 모든 게 무너지는 것 같아서 안락사도 생각하게 돼.",CLAUDE
흑백 사고,일반,"[여자/18세]
---
꿈에 그리던 대학교 합격 발표가 났다.  결과는 불합격.  모든 노력이 물거품이 되었다.  나는 아무것도 할 수 없고, 앞으로도 아무것도 이룰 수 없을 거야.  다 끝났어.  다시는 희망을 가져선 안 돼.
",GEMINI
흑백 사고,추가,"[여자/17]
---
시험 결과가 나왔다.  90점이었다.  하지만 100점이 아니니 완전한 실패다.  내 노력은 아무 의미 없고, 나는  심리학과 진학은 물건너갔다.  음악치료사도 꿈꿀 수 없어.  모든 게 끝났어.
",Gemini
흑백 사고,추가,"[여자/15세]
---
전학생이 내게 말을 걸었지만, 다른 친구들은 그를 무시했어. 내가 그 전학생이랑 친구가 되고 싶어도 다들 일부러 피했으니 절대 되지 못할 거야. 앞으로 영원히 친구가 없는 외톨이가 될 수밖에 없어.",Claude
흑백 사고,일반,"[여자/17세]  
---  
특성화 고등학교 2학년인데, 전공이 전혀 마음에 안 들어요. 친구들도 힘들고, 나는 여기에서 벗어날 수 없을 것 같아요. 단임 선생님이 가능성이 없다고 하니, 결국 전학은 꿈일 뿐입니다.",GPT
흑백 사고,추가,"[남자/18세]
---
자퇴서를 냈다.  다시는 학교에 갈 수 없을 거야.  복학?  절대 안 될 거다.  다른 학교?  어차피 똑같아.  어디에도 갈 곳이 없어.  망했어.  완전히.
",Gemini
흑백 사고,추가,"[여자/16세]
---
아빠와 다투고 나서 그 언니 생각하면 화가 완전히 풀려. 내일 학교에 가서 그 언니 꼭 보고 싶다. 아니면 차라리 자살이라도 해야겠다. 이렇게나 좋아하는데 내가 죽지 않으면 그 언니를 다시 못 볼 것 같아.",Claude
흑백 사고,일반,"[남자/17세]
---
여자 없이는 살 수 없어. 여자친구가 없으니 너무 괴롭다. 이러다 내 이미지도 나빠질까 걱정이다. 결국 어떻게든 여자를 만나려고 애쓰겠지만, 오래가지 못할 것 같아 답답하다.",CLAUDE
흑백 사고,추가,"[여자/16세]  
---  
조금만 잘못하면 모든 친구들이 날 싫어할 것 같아. 한 친구가 나랑 이야기 안 해주니까, 다른 애들도 나를 무시하는 건 아닐까? 이번에는 진짜 혼자가 될 것 같아 정말 두렵다.",GPT
흑백 사고,추가,"[여자/15]
---
시험 성적표를 받았다. 90점이 넘는 과목도 있었지만, 60점대 과목이 눈에 밟힌다.  나는 형사가 꿈인데, 공부를 못하면 형사는 될 수 없을 거다.  결국 꿈은 물거품이 될 거야.  나는 실패자야.
",Gemini
흑백 사고,추가,"[여자/16세]  
---  
내가 오늘 친구들과 잘 어울리지 못했으니, 이제 모든 친구가 나를 싫어할 거야. 그렇게 생각하니 괴로워. 그들이 나와 함께하지 않으면 나는 완전히 외톨이가 되는 느낌이야.",GPT
흑백 사고,추가,"[여자/17세]
---
시험 점수가 망했어.  모든 게 끝장이야.  학원도, 친구들도, 다 소용없어.  나는 아무것도 할 수 없어.  완전히 실패자야.  죽고 싶어.  내 인생은 끔찍해.
",Gemini
흑백 사고,일반,"[여자/17] 
---
공부는 너무 어려워 보여요. 내신도 낮고 수능도 잘 못 볼 거 같네요. 그저 취업할 수 있는 자격증을 따는 것이 현실적인 거 같아요. 대학은 꿈도 안 되는 것 같아요.",CLAUDE
흑백 사고,추가,"[여자/14]
---
오늘 숙제를 다 못 했어.  망했어.  전부 망친 거야.  선생님께 혼날 거고,  친구들은 나를 비웃을 거야.  나는 아무짝에도 쓸모없는 존재야.  다 내 잘못이야.  결국 난 실패한 사람일 뿐이야.
",Gemini
흑백 사고,일반,"[여자/17]  
---  
고등학교 1학년, 진로를 결정해야 하는데 내가 원하는 길이 아닌 것 같아 막막하다. 공부가 재미없고 적성도 맞지 않는 듯해, 그냥 이렇게 계속하면 안 될 것 같은 불안감이 점점 커진다.",GPT
흑백 사고,일반,"[남자/14세]  
---  
내가 잘 할 수 있을지 모르겠어요. 친구들은 다 잘하는데, 나는 뭐든지 부족한 것 같아요. 축구 팀에도 합류했지만, 혹시 떨어지면 나만 슬프겠죠. 성공은 꿈꿀 수 없는 걸까요?",GPT
흑백 사고,일반,"[여자/16세]  
---  
필기시험에서 틀린 문제를 보면, 나는 항상 '못하는 것'만 생각해요. 조금이라도 잘하지 않으면, 다른 친구들처럼 잘할 일도 없다고 생각해요. 나 자신만 보면 늘 부족한 것 같아요. 정말 힘들어요.",GPT
흑백 사고,추가,"[남자/17세]  
---  
학교에서 발표 잘못했어. 그러니까 정말 난 아무것도 못하는 사람 같아. 선생님은 무관심한 것 같고, 친구들도 나를 싫어할 거야. 내 인생은 이렇게 망가진 것 같아.",GPT
흑백 사고,일반,"[남자/17]  
---  
가족과의 다툼 후, ""내가 왜 살아야 하지""라는 생각이 떠오른다. 친구들에게 자주 혼자라고 느끼고, 그럴수록 더 외롭고 쓰레기 같은 존재가 되어버린 기분이 드니까, 도망치고 싶어진다.",GPT
흑백 사고,추가,"[여자/16세]  
---  
시험을 망쳤으니, 이제 내 모든 노력은 소용없다고 생각해. 친구들 모두 날 피하고, 난 절대로 성공할 수 없는 존재야. 이렇게 끝나는 거지, 좋은 하루는 없어.",GPT
흑백 사고,일반,"[여자/16세]
---
엄마가 또 친구 만난 거 캐묻는다.  거짓말하면 엄마 화낼 게 뻔하고, 진실을 말해도 잔소리만 늘어놓겠지.  어차피 답은 정해져 있어.  내가 잘못한 거니까.  다른 친구들은 자유로운데, 나만 이렇게 억압받는 기분이야.  모두 나 때문이야.  내가 착실하게 행동했으면 이런 일도 없었을 텐데.
",GEMINI
흑백 사고,추가,"[여자/15세]
---
이번 시험에서 내가 C학점을 받았어. 이제 나는 모든 게 엉망이 될 거야. 다른 애들은 다 A학점을 받았다는데 나만 이렇게 못하면 앞으로 대학에도 못 갈 거야. 이대로 가면 앞으로 평생 실패자가 될 거야.",Claude
흑백 사고,추가,"[남자/18세]
---
그녀와 눈이 마주쳤다. 심장이 쿵 내려앉았다.  내가 좋아하는 건지, 아니면 그냥 관심 없는 척인 건지 모르겠다.  같은 반이 되면 좋겠지만, 아니면 나는 완전히 끝장이다.  그녀가 나를 좋아할 리 없다.  모 아니면 도다.
",Gemini
흑백 사고,일반,"[남자/18세]
---
저는 18세가 되어도 2차 성징이 오는 게 두려워요. 정상적인 발달이 안 되는 건 아니지만 너무 싫어요. 어떻게든 이것만은 피하고 싶습니다. 다른 방법이 없을까요?",CLAUDE
흑백 사고,추가,"[여자/16세]
---
이 시험에 실패하면 내 인생은 완전히 망했어. 동성애를 받아들이지 못하는 주변 친구들 때문에 나도 나 자신이 싫어졌어. 이대로라면 영원히 행복할 수 없을 것 같아.",Claude
흑백 사고,일반,"[여자/17세]  
---  
친구들이 목표를 가지고 꿈꾸는 모습을 보며, 나는 나만 꿈이 없는 것처럼 느껴진다. 인터넷에서 자퇴한 이야기들이 나를 괴롭힌다. 나도 그런 결정을 내릴 수밖에 없을까? 불안해.",GPT
흑백 사고,추가,"[여자/17세]
---
시험을 망쳤어. 이젠 모든 게 꼬여버렸어. 내가 아무리 노력해도 결과는 항상 최악이야. 이대로 계속 실패할 거라니.. 앞으로 어떡하지?",Claude
흑백 사고,일반,"[여자/15세]
---
시험 성적표를 받았다.  잘 본 과목은 하나도 없고, 다 망쳤다.  내가 아무리 노력해도 소용없는 거 같다.  공부는 도저히 안될 것 같고, 다른 걸 해야겠어.  음악이나 미술 학원을 다닐까?  아니면 그냥 포기할까?  어차피 난 뭘 해도 안 될 거야.
",GEMINI
흑백 사고,일반,"[중학생 남자, 15세]
---
누군가는 공부에만 열중하길 바라지만, 나는 PC방에 가고 싶어요. 스트레스 받고 해보고 싶은 일도 많지만, 모두 실패할 뿐 한심하기만 해요. 부모님께 미안하지만, 이렇게 살 수밖에 없어요.",CLAUDE
흑백 사고,일반,"[남자/17]
---
새 학기, 반 아이들은 모두 낯설다.  친구를 사귀어야 한다는 건 알지만,  마음은 꽁꽁 닫혀 있다.  누구와도 제대로 된 대화를 나누고 싶지 않아.  그냥, 혼자 있는 게 편해.  아무도 나를 이해하지 못할 거야.  어차피 다 쓸데없는 일이지.
",GEMINI
흑백 사고,일반,"[여자/17]  
---  
학교에서 친구들이 최신 스마트폰을 자랑할 때마다 내 구형 폴더폰이 더 초라하게 느껴져요. 내 친구들은 쉽게 도움을 받는 반면, 나는 항상 알뜰하게 살아야 할 것 같아요. 부모님께 어떻게 말해야 할지 모르겠어요.",GPT
흑백 사고,추가,"[남자/14세]
---
방송부 활동?  망했어.  내 영상은 재미없고, 모두 나를 무시할 거야.  요리사도 실패했고, 이것도 실패하면 난 아무것도 아닌 존재야.  다른 길은 없어.  나는 실패자야.
",Gemini
흑백 사고,추가,"[여자/15세]
---
걔 때문에 다리 다쳤는데, 절뚝거린다고 놀린다.  친구라고 생각했는데, 이젠 완전 적으로 싫다.  내가 잘못한 게 뭐라고 계속 괴롭히는 거지?  친구도 아닌, 적도 아닌, 그냥 나쁜 애야.  모든 게 다 걔 때문이야.  내가 뭘 잘못했는지 모르겠어.  다신 안 볼 거야.
",Gemini
흑백 사고,추가,"[여자/15세]
---
전학 온 지 몇 주 되자 아이들이 저를 피하고 괴롭히네요. 선생님께 말씀드렸지만 소용없었습니다. 이제 저는 완전히 실패한 것 같아요. 앞으로 절대 친구를 사귈 수 없을 거예요.",Claude
흑백 사고,일반,"[여자/18]  
---  
대학 진학은 꿈도 꾸기 어려워. 아버지의 죽음 이후, 돈 걱정만 해. 친구들은 다들 계획 세우는데, 나는 하루하루 끼니 걱정뿐. 나에게 미래는 더 이상 없는 것 같아.",GPT
해야 한다' 진술,일반,"[여자/16세]  
---  
수업 중, 모든 친구들이 발표를 잘하는 걸 보고 내 심장이 쿵쿵 뛰기 시작했어요. 나도 완벽해야만 한다는 압박감에 휩싸여, 숨도 제대로 못 쉬겠고 자꾸 내 모습이 부끄럽고 숨고 싶어져요.",GPT
해야 한다' 진술,추가,"[여자/15세]
---
시험에서 좋은 점수를 받아야 한다. 부모님께서 기대하시니까 실수할 순 없다. 친구들과 놀아야 하는데 공부만 해야 한다. 완벽해야 한다. 실수하면 안 된다. 완벽해지지 않으면 실패자가 될 것이다.",Claude
해야 한다' 진술,추가,"[여자/18]
---
엄마는 내가 의대에 가야 한다고 말씀하셨어.  하지만 나는 경찰이 되고 싶어.  내가 원하는 삶을 살아야 하는데, 엄마의 기대에 부응해야만 할까?  나는 항상 엄마의 기대에 부합하는 딸이어야만 하는 걸까?  이 모든 게 너무 힘들어.  내가 잘못된 건가?
",Gemini
해야 한다' 진술,추가,"[여자/15세]
---
선생님께서는 이 학교에 더 계셔야 합니다. 저희 학교에 오랫동안 계신 선생님들이 더 좋습니다. 이번에 다른 학교로 가신다면 저희가 어떻게 해야 할지 모르겠네요. 선생님이 만약 떠나신다면 저희는 적응하기 힘들 것 같아요.",Claude
해야 한다' 진술,추가,"[여자/16세]
--- 
나는 열심히 공부해야 한다. 부모님이 원하시는 대로 좋은 대학에 가야 한다. 내가 원하는 것보다 부모님 뜻을 따라야 한다. 나 혼자서는 아무것도 할 수 없다. 부모님의 도움이 필요하다.",Claude
해야 한다' 진술,추가,"[여자/15세]
---
어제, 걔랑 또 싸웠어.  내가 잘못했지만,  화해해야 해.  하지만  어떻게 해야 할지 모르겠어.  내가 먼저 사과해야 한다고 생각해.  잘못했으니까.  하지만  그럴 용기가 없어.  내가 먼저 연락해야 해.  무조건.  하지만  무슨 말을 해야 할지 모르겠어.  망했어.  다 내 잘못이야.
",Gemini
